Player,Team,total_distance,HIR_total_distance,HA_actions,HD_actions,VHA_actions,VHD_actions
10396,2.7091647785257006e+18,10099.407728954384,2023.355820751458,324.0,458.0,89.0,217.0
11679,2.7091647785257006e+18,7681.13801847071,1536.5354405436985,281.0,360.0,87.0,165.0
11720,8.853120925808617e+18,8079.744689304391,2035.9959557278355,204.0,252.0,8.0,69.0
12458,2.7091647785257006e+18,10677.8149182998,1577.3191653015413,383.0,401.0,126.0,173.0
12588,8.853120925808617e+18,12737.077911474284,2597.59822833608,358.0,484.0,59.0,140.0
13188,2.7091647785257006e+18,10626.361888804313,2123.962364807809,498.0,560.0,129.0,158.0
13394,8.853120925808617e+18,11631.021948263147,1918.574715242086,247.0,365.0,55.0,113.0
15223,8.853120925808617e+18,8583.016202683528,2005.9183145664742,320.0,479.0,56.0,131.0
15606,2.7091647785257006e+18,10648.63312418544,1873.1152759244044,281.0,382.0,71.0,175.0
15620,2.7091647785257006e+18,10681.670693195121,2631.861372273007,395.0,449.0,69.0,312.0
15889,2.7091647785257006e+18,11220.363735778234,2132.934793141596,487.0,510.0,108.0,224.0
17070,8.853120925808617e+18,10307.097574092884,1256.4607804713237,405.0,340.0,90.0,147.0
17444,2.7091647785257006e+18,10257.690318666377,2020.52842629495,608.0,493.0,186.0,208.0
17585,8.853120925808617e+18,9822.58471840368,1787.6193328506606,338.0,275.0,63.0,118.0
18226,8.853120925808617e+18,2752.8127303025494,696.2644135547484,117.0,84.0,6.0,51.0
18428,2.7091647785257006e+18,2432.4893682885668,639.9913649490102,118.0,94.0,54.0,50.0
18446,2.7091647785257006e+18,5343.880641901012,164.13517461724675,132.0,122.0,14.0,17.0
24909,8.853120925808617e+18,3590.385189917466,906.6333162353279,100.0,101.0,9.0,32.0
33033,8.853120925808617e+18,5103.589995232768,6.4007352459261835,94.0,69.0,8.0,7.0
46786,2.7091647785257006e+18,10015.03156449555,1282.0124797069839,250.0,282.0,49.0,59.0
50643,8.853120925808617e+18,1751.6753171724738,161.98219854651936,36.0,50.0,11.0,25.0
51687,1.8446744073709552e+19,40212.473632097484,0.0,0.0,0.0,0.0,0.0
66763,8.853120925808617e+18,10232.26900669864,1380.3353508900261,366.0,384.0,124.0,124.0
72131,8.853120925808617e+18,9177.488927934319,1026.510602541919,305.0,322.0,65.0,119.0
82908,8.853120925808617e+18,9803.127037125607,1093.0041378523604,275.0,281.0,30.0,107.0
87466,2.7091647785257006e+18,3956.5478631285287,335.8660805223217,124.0,149.0,12.0,53.0
93295,8.853120925808617e+18,11161.846572509034,1845.2820725577758,321.0,407.0,66.0,159.0
94410,2.7091647785257006e+18,11678.18890307215,1855.2475364600773,326.0,371.0,37.0,102.0
